time,times
way,ways
year,years
work,works
government,government
day,days
man,men
world,worlds
life,lives
part,parts
house,houses
course,courses
case,cases
system,systems
place,places
end,ends
group,groups
company,companies
party,parties
information,informations
school,schools
fact,facts
money,moneys
point,points
example,examples
state,states
business,businesses
night,nights
area,areas
water,
thing,things
family,families
head,heads
hand,hands
order,orders
side,sides
home,homes
development,developments
week,weeks
power,powers
country,countries
council,councils
use,uses
service,services
room,rooms
market,markets
problem,problems
court,courts
lot,lots
war,wars
police,polices
interest,interests
car,cars
law,laws
road,roads
form,forms
face,faces
education,educations
policy,policies
research,researches
sort,sorts
office,offices
body,bodies
person,persons
health,healths
mother,mothers
question,questions
period,periods
name,names
book,books
level,levels
child,children
control,controls
society,societies
minister,ministers
view,views
door,doors
line,lines
community,communities
south,souths
city,cities
god,gods
father,fathers
centre,centres
effect,effects
staff,staffs
position,positions
kind,kinds
job,jobs
woman,women
action,actions
management,managements
act,acts
process,processes
north,norths
age,ages
evidence,evidences
idea,ideas
west,wests
support,supports
moment,moments
sense,senses
report,reports
mind,minds
church,churches
morning,mornings
death,
change,
industry,industries
land,
care,
century,centuries
range,
table,
back,
trade,
history,histories
study,studies
street,
committee,
rate,
word,
food,foods
language,
experience,
result,
team,
other,
sir,sirs
section,
programme,
air,
authority,authorities
role,
reason,
price,
town,
class,classes
nature,
subject,
department,
union,
bank,
member,
value,
need,
east,
practice,practices
type,
paper,
date,
decision,
figure,
right,
wife,wives
president,
university,universities
friend,
club,
quality,qualities
voice,
lord,
stage,
king,
situation,
light,
tax,taxes
production,
march,marches
secretary,secretaries
art,
board,
may,mays
hospital,
month,
music,musics
cost,
field,
award,
issue,
bed,
project,
chapter,
girl,
game,
amount,
basis,bases
knowledge,knowledges
approach,approaches
series,series
love,
top,
news,news
front,
future,
manager,
account,
computer,
security,securities
rest,
labour,
structure,
hair,
bill,
heart,
force,
attention,
movement,
success,successes
letter,
agreement,
capital,
analysis,analyses
population,
environment,
performance,
model,
material,
theory,theories
growth,
fire,
chance,
boy,boys
relationship,
son,
sea,
record,
size,sizes
property,properties
space,
term,
director,
plan,
behaviour,behaviours
treatment,
energy,energies
income,
cup,
scheme,
design,
response,
association,
choice,
pressure,
hall,
couple,
technology,technologies
defence,
list,
chairman,chairmen
loss,losses
activity,activities
contract,
county,counties
wall,
difference,
army,armies
hotel,
sun,
product,
summer,
set,
village,
colour,colours
floor,
season,
unit,
park,
hour,
investment,
test,
garden,
husband,
employment,
style,
science,
look,
deal,
charge,
help,helps
economy,economies
page,
risk,
advice,
event,
picture,
commission,
fish,fish
college,
oil,
doctor,
opportunity,opportunities
film,
conference,
operation,
application,
press,presses
extent,
addition,
station,
window,
shop,
access,accesses
region,
doubt,
majority,majorities
degree,
television,
blood,
statement,
sound,
election,
parliament,
site,
mark,
importance,
title,
species,species
increase,
return,
concern,
public,publics
competition,
software,
glass,glasses
lady,ladies
answer,
earth,
daughter,daughters
purpose,
responsibility,responsibilities
leader,
river,
eye,eyes
ability,abilities
appeal,
opposition,
campaign,
respect,
task,
instance,
sale,
whole,
officer,
method,
division,
source,
piece,
pattern,
lack,
disease,
equipment,equipments
surface,
demand,
post,
mouth,
radio,
provision,
attempt,
sector,
firm,
status,statuses
peace,peaces
variety,varieties
teacher,
show,shows
speaker,
baby,babies
arm,
base,
miss,misses
safety,safeties
trouble,
culture,
direction,
context,
character,characters
box,boxes
discussion,
past,
weight,
organisation,organisations
start,
brother,brothers
league,
condition,
machine,
argument,
sex,sexes
budget,
english,englishes
transport,
share,
mum,
cash,cashes
principle,
exchange,
aid,
library,libraries
version,
rule,
tea,
balance,
afternoon,
reference,
protection,
truth,truths
district,
turn,
smith,
review,
minute,
duty,duties
survey,
presence,
influence,
stone,stones
dog,
benefit,
collection,
executive,
speech,speeches
function,
queen,
marriage,
stock,
failure,
kitchen,
student,
effort,
holiday,
career,
attack,
length,
horse,
progress,progresses
plant,
visit,
relation,
ball,
memory,memories
bar,
opinion,
quarter,
impact,
scale,
race,
image,
trust,
justice,
edge,
gas,gases
railway,
expression,
advantage,
gold,
wood,
network,
text,
forest,
sister,
chair,
cause,
foot,feet
rise,
half,halves
winter,
corner,
insurance,insurances
step,
damage,
credit,credits
pain,
possibility,possibilities
legislation,legislations
strength,
speed,
crime,
hill,
debate,
will,
supply,supplies
present,
confidence,
patient,
wind,
solution,
band,
museum,museums
farm,
pound,
match,matches
assessment,
message,
football,
no,noes
animal,
skin,
scene,
article,
stuff,stuffs
introduction,
play,
administration,administrations
fear,
dad,
proportion,
island,
contact,
claim,
kingdom,
video,videos
tv,tvs
existence,
telephone,
move,
traffic,
distance,
relief,
cabinet,
unemployment,
reality,realities
target,
trial,
rock,
concept,
spirit,
accident,
organization,
construction,
coffee,
phone,
distribution,
train,
sight,
difficulty,difficulties
factor,
exercise,
weekend,
battle,
prison,
grant,
aircraft,aircraft
tree,trees
bridge,
strategy,strategies
contrast,
communication,
background,
shape,
wine,
star,
hope,
selection,
detail,
user,
path,
client,
search,searches
master,
rain,rains
offer,
goal,
dinner,
freedom,
attitude,
while,
agency,agencies
seat,
manner,
favour,
fig.,fig.
pair,pairs
crisis,crises
smile,
prince,
danger,
call,
capacity,capacities
output,
note,
procedure,
theatre,
tour,
recognition,recognitions
middle,
absence,absences
sentence,
package,
track,
card,
sign,
commitment,
player,
threat,
weather,
element,
conflict,
notice,
victory,victories
bottom,
finance,
fund,
violence,
file,
profit,
standard,
route,
expenditure,expenditures
second,
discipline,
cell,
pp.,
reaction,
castle,
congress,congresses
individual,
lead,
consideration,
debt,
option,
payment,
exhibition,
reform,
emphasis,emphases
spring,
audience,
feature,
touch,touches
estate,
assembly,assemblies
volume,
youth,
contribution,
curriculum,curricula
appearance,
boat,
institute,
membership,
branch,branches
bus,buses
waste,
heat,
neck,
object,
captain,
driver,
challenge,
conversation,
occasion,
code,
crown,
birth,
silence,silences
literature,literatures
faith,
hell,
entry,entries
transfer,
gentleman,gentlemen
bag,
coal,
investigation,
leg,
belief,
total,
major,
document,
description,
murder,
aim,
manchester,
flight,
conclusion,
drug,
tradition,
pleasure,
connection,
owner,
treaty,treaties
desire,desires
professor,
copy,copies
ministry,ministries
acid,
palace,
address,addresses
institution,
lunch,lunches
generation,
partner,
engine,
newspaper,
cross,crosses
reduction,
welfare,welfares
definition,
key,
release,
vote,
examination,
judge,
atmosphere,
leadership,
sky,skies
breath,
creation,
row,
guide,
milk,
cover,
screen,
intention,
criticism,
silver,
customer,
journey,
explanation,
green,
measure,
brain,
significance,
phase,
injury,injuries
run,
coast,
technique,
valley,
drink,
magazine,
potential,
drive,
revolution,
bishop,
settlement,
metal,
motion,
index,indexes
adult,
inflation,
sport,
surprise,
pension,
factory,factories
tape,
flow,
iron,
trip,
lane,
pool,
independence,
hole,
flat,
content,
pay,
noise,
combination,
session,
appointment,
fashion,
consumer,
accommodation,
temperature,
religion,
author,
nation,
northern,
sample,
assistance,assistances
interpretation,
aspect,
display,displays
shoulder,
agent,
gallery,galleries
republic,
cancer,
proposal,
sequence,
ship,
interview,
vehicle,
democracy,democracies
improvement,
involvement,involvements
general,
enterprise,
van,
meal,
breakfast,
motor,
channel,
impression,
tone,
sheet,
pollution,
beauty,beauties
square,
vision,
spot,
distinction,
crowd,
fuel,
desk,
sum,
decline,
revenue,
fall,
diet,
bedroom,
soil,
reader,
shock,
fruit,
behalf,behalves
deputy,deputies
roof,roofs
nose,
steel,
co,
artist,
graham,
plate,
song,
maintenance,maintenances
formation,
grass,grasses
spokesman,spokesmen
ice,
talk,
program,
link,
ring,
expert,
establishment,
plastic,
candidate,
rail,
passage,
parish,parishes
ref,
emergency,emergencies
liability,liabilities
identity,identities
location,
framework,
strike,
countryside,
map,
lake,
household,
approval,
border,
bottle,
bird,
constitution,
autumn,
cat,
agriculture,
concentration,concentrations
guy,
dress,dresses
victim,
mountain,
editor,
theme,
error,
loan,
stress,stresses
recovery,recoveries
electricity,electricities
recession,
wealth,wealths
request,
comparison,
lewis,lewises
white,
walk,
focus,foci
focus,focuses
chief,
parent,
sleep,
mass,masses
bush,bushes
foundation,
bath,
item,
lifespan,
lee,lees
publication,
decade,
beach,beaches
sugar,
height,
charity,charities
writer,
panel,
struggle,
dream,
outcome,
efficiency,efficiencies
offence,offences
resolution,
reputation,
specialist,
taylor,taylors
pub,
co-operation,
port,
incident,
representation,
bread,
chain,
initiative,
clause,
resistance,
mistake,
worker,
advance,
empire,
notion,
mirror,
delivery,deliveries
chest,
licence,licences
average,
awareness,awarenesses
travel,
expansion,
block,
alternative,
chancellor,
meat,
store,
self,selves
break,
drama,dramas
corporation,
currency,currencies
extension,
convention,
partnership,
skill,
furniture,furnitures
round,
regime,
inquiry,inquiries
rugby,rugbies
philosophy,philosophies
scope,
gate,
minority,minorities
intelligence,
restaurant,
consequence,
mill,
golf,
retirement,
priority,priorities
plane,
gun,
gap,
core,
uncle,
fun,
arrival,
snow,
no.,nos.
command,commands
abuse,
limit,
championship,
dps,dpses
kgcm,kgcms
